barrio,precio,hab,baño,aseo,superficie,fecha_constr,planta,lavadero,trastero,terraza,calefaccion,parking,acc,ascensor,lat,lon,url,text
Dreta de l´Eixample,Oportunidad,4 habitaciones,2 Baños,,Superficie 137 m,Año construcción 1900,,Lavadero ,,,,,,Ascensor ,"VGPSLat\"":41.3939860","VGPSLon\"":2.1648340",https://www.habitaclia.com/comprar-piso-magnifico_principal_junto_a_passeig_de_gracia_dreta_de_l_eixample-barcelona-i8166003733163.htm?f=&from=list&lo=55," Principal de un edificio clásico del año 1900. En la entrada encontramos el recibidor donde podemos acceder a la derecha a la parte exterior que da a la calle, aquí tenemos dos estancias con un balcón de unos 8m de largo, de este lado y junto a estas dos estancias, otra habitación que tiene salida a un patio interior ( podría ser un punto verde con plantas), si volvemos a la entrada, a la izquierda, tenemos otras dos estancias del mismo tamaño que dan al patio de manzana con una pequeña terraza, esta sería la zona más tranquila. Por este lado, se encuentra un lavadero de unos 15m., propiedad de la vivienda y que se accede bajando unas escaleras desde el interior. Aquí también tenemos otro dormitorio que tiene salida al mismo patio que hemos mencionado antes, además de la cocina y los dos baños completos. La ventaja y el atractivo de esta propiedad consiste en que podemos elegir si queremos tener el salón frente a la calle, o de lo contrario el salón podría estar junto a la pequeña terraza. De las 2 maneras nos quedarían 3 o 4 dormitorios dependiendo del tamaño que queramos en el salón. Debajo del suelo de tablas se encuentra el suelo original hidráulico que podría recuperarse. La calefacción es a gas con radiadores. Hay un solo piso por planta y muy pocos vecinos. Junto a Passeig de Grácia, la calle más emblemática de Barcelona donde se encuentran todas las boutiques internacionales  y los mejores hoteles, muy cerca de la Diagonal, paseo semi peatonal y con una extensa oferta de tiendas y restauración. Transporte público muy cerca."
Dreta de l´Eixample,470.000 €,2 habitaciones,2 Baños,,Superficie 98 m,Año construcción 1973,Planta número 2,Lavadero ,,,Calefacción ,Sin plaza parking,Sin aire acondicionado,Ascensor ,"VGPSLat\"":41.3942577","VGPSLon\"":2.1690526",https://www.habitaclia.com/comprar-piso-reformado_y_luminoso_dreta_de_l_eixample-barcelona-i4585004061593.htm?f=&from=list&lo=55," piso en buen estado, reformado íntegramente en 2003, consta de 2 habitaciones, una doble suite con baño integrado, la otra individual exterior a la calle, y otro baño, salón comedor con balcón, cocina con lavadero, despacho exterior, suelo de parquet, altillo. zona perfectamente comunicada, con bus y metro, varios colegios próximos, y con todos los servicios."
Dreta de l´Eixample,780.000 €,2 habitaciones,2 Baños,,Superficie 95 m,Año construcción 1900,,,,,Calefacción ,,Aire acondicionado ,Ascensor ,"VGPSLat\"":41.3954650","VGPSLon\"":2.1710700",https://www.habitaclia.com/comprar-apartamento-piso_rehabilitado_en_eixample_dreta_de_l_eixample-barcelona-i8166003778013.htm?f=&from=list&lo=55," Fantástico piso totalmente renovado en Eixample.  En la zona de día el piso cuenta con un salón comedor con salida a galería que da a patio de manzana, un comedor y una cocina abierta.  En la zona de noche, encontramos un dormitorio individual, un baño completo y un dormitorio doble exterior en suite con baño completo con salida a balcón que da a la calle. Finca con ascensor.
El Eixample simboliza la elegancia de Barcelona. Su red de bloques octogonales se considera una obra maestra de la planificación urbana. Además, se dice que su diseñador, Ildefons Cerdà, es el padre del urbanismo. Algunas de las obras arquitectónicas más destacadas del modernismo catalán de Gaudí y sus contemporáneos se encuentran en estas calles residenciales arboladas. Sin embargo, hasta finales del siglo XIX, esta área estaba llena de campos, fábricas y molinos. Barcelona era una ciudad superpoblada y ahogada entre muros. Cuando cayeron estos muros, nació el Eixample. Las antiguas zonas industriales fueron demolidas a medida que la ciudad creció. Las pocas estructuras que sobrevivieron fueron rediseñadas y reconvertidas. Compartiendo el patio con este destacado proyecto residencial, se encuentra un molino de harina original restaurado que se ha convertido en un ejemplo clásico de la arquitectura de ladrillo de la época. Las élites de Barcelona comenzaron a construir sus maravillosos edificios en la parte derecha del distrito del Eixample a finales del siglo XIX. Hoy, la rehabilitación de esta área está en pleno apogeo con nuevas áreas peatonales, nuevas tiendas y nueva vida. Este desarrollo goza de una magnífica ubicación para la vida urbana. Se encuentra en una calle tranquila, destinada al uso peatonal en un futuro próximo y a solo unos minutos de las playas de Barcelona. La zona de moda de Born, llena de bares, restaurantes, galerías y museos, está a la vuelta de la esquina. El corazón del Eixample, el Passeig de Gràcia, está a pocos pasos. Hay los mejores hoteles de lujo en Barcelona, así como tiendas de diseño y restaurantes."
Dreta de l´Eixample,380.000 €,3 habitaciones,1 Baño,1 Aseo,Superficie 86 m,Año construcción 1976,Planta número 3,Lavadero ,,Balcón / Terraza 4 m,Calefacción ,Sin plaza parking,Aire acondicionado ,Ascensor ,"VGPSLat\"":41.3986556","VGPSLon\"":2.1780983",https://www.habitaclia.com/comprar-piso-eix_dret_para_entrar_a_vivir_dreta_de_l_eixample-barcelona-i9578004140455.htm?f=&from=list&lo=55," Piso en venta en calle Diputació a muy pocos metros de la Plaza Tetuán. Fantástica ubicación en el ´Eixample Dret´ con todos los servicios en la zona y diversas opciones de movilidad en transporte público a cualquier punto de la ciudad y de su área metropolitana. Disfruta de 86m² de superficie total sobre los que se distribuyen 1 dormitorio doble, 2 individuales amplios,  1 baño completo con plato de ducha, 1 aseo de cortesía y cocina independiente con galería- zona de aguas a patio de luces.  El espacio dedicado al salón- comedor, es un ambiente amplio, confortable y  con mucha entrada de luz natural (sol desde primera hora de la tarde) que dispone un acogedor anexo sobre fachada principal a modo de estudio, zona de trabajo o similar .  Agradable terracita sobre calle con acceso desde el salón y desde dormitorio. La vivienda se encuentra en muy buen estado, para entrar a vivir. A nivel de confort cuenta con un split aire frío- calor en el salón, sistema  de calefacción por radiadores y suelos de parqué en todas las estancias excepto zonas húmedas (cocina y baños).   Ubicada en una tercera planta real de altura de finca con ascensor rodeada de todos los servicios y comercio de proximidad. A pocos metros de la plaza Tetuán y Paseo de Sant Joan; Parc de la Ciutadella, C. C Glòries, Sagrada Familia.... Metro (L2)- Tetuán y diversas líneas de bus. "
Dreta de l´Eixample,1.100.000 €,3 habitaciones,2 Baños,,Superficie 125 m,,,,Trastero ,,Calefacción ,,Aire acondicionado ,Ascensor ,"VGPSLat\"":41.3986824","VGPSLon\"":2.1694027",https://www.habitaclia.com/comprar-piso-obra_nueva_avenida_diagonal_331_dreta_de_l_eixample-barcelona-i33167003997550.htm?f=&from=list&lo=55," Inmueble de obra nueva perteneciente a la promoción TORRE DIAGONAL 331 en Barcelona, Dreta de l´Eixample. Avinguda Diagonal, 331. Edificio viviendas 74 m2.   Torre Diagonal 331 és una promoció situada a una de les avingudes més exclusives de Barcelona. Està molt ben comunicada amb cotxe, transport públic i carril bici. És a una de les zones cèntriques de moda a Barcelona, un lloc excel·lent per passejar i gaudir amb la seva àmplia oferta de botigues i restaurants. Situada a la zona alta de l’Eixample Dret, tocant a Passeig Sant Joan i molt a prop del temple de la Sagrada Família. El clima de Barcelona, la seva història, l’arquitectura, la cultura, la gastronomia, la gent i els mercats, són només unes quantes raons que fan que Barcelona sigui una de les ciutats preferides tant per visitar com per viure-hi. I no oblidem el seu ambient cosmopolita i acollidor que compta amb carrers plens de botigues, cafès i racons encantadors. Habitatges de luxe en una finca totalment reformada que manté tot l’esplendor original i amb vistes impressionants a la Sagrada Família o a l’espectacular pati interior de l’Eixample. Apartaments moderns amb una distribució pràctica i fluida que connecta espais creant zones obertes i plenes de llum.  499000 €."
Dreta de l´Eixample,950.000 €,2 habitaciones,2 Baños,,Superficie 108 m,,,,,,Calefacción ,Plaza parking ,Aire acondicionado ,Ascensor ,"VGPSLat\"":41.3981500","VGPSLon\"":2.1719200",https://www.habitaclia.com/comprar-atico-con_2_habitaciones_ascensor_parking_calefaccion_aire_a_dreta_de_l_eixample-barcelona-i31024000000038.htm?f=&from=list&lo=55," Ático Paseo de Sant Joan Superficie útil: 90,57 m² vivienda m² exterior (terrazas). Consta de dos habitaciones dobles, dos baños, salón - comedor, cocina, vestuario, trastero en vivienda. Posibilidad de hacer una tercera habitación. Amplia terraza de 20,67 m², acceso desde la cocina: cierres de seguridad, puntos de luz y enchufes, tierras de teka tratada que no necesita mantenimiento, riego por goteo para jardineras. Vivienda equipada con mobiliario y electrodomésticos. Cocina y calefacción por radiadores, a gas. Aire acondicionado en las habitaciones y comedor- estar. Tierras de parqué de madera. Cierres de aluminio lacado blanco. Algunas ventanas oscilo batientes. Terrassa superior de 39 m² con tierras de gres, riego por goteo y ducha exterior de agua fría y caliente. Puntos de luz y enchufes. Vistas panorámicas. Teulada y terraza superior con cámara de aire aislante. Plaza de garaje opcional. Edificio catalogado en el Cuadrado de Oro: Casa Emilia Artés de Mayolas, arquitecto Salvador Viñals Sabaté Finca de 1898 con ascensor. El producto está comercializado por MAS I FILL  PATRIMONIA, que gestiona inmuebles desde 1932"
Dreta de l´Eixample,490.000 €,2 habitaciones,1 Baño,,Superficie 75 m,,,,,,Calefacción ,Sin plaza parking,Aire acondicionado ,Ascensor ,"VGPSLat\"":41.3968956","VGPSLon\"":2.1758928",https://www.habitaclia.com/comprar-piso-obra_nueva_calle_diputacio_352_dreta_de_l_eixample-barcelona-i27005004082005.htm?pag=1&f=&from=list&lo=55," Inmueble de obra nueva perteneciente a la promoción diputación 352 en Barcelona, Dreta de l´Eixample. Carrer Diputació, 352.  Se trata de una vivienda ubicada en planta primera puerta segunda. Dispone de salón comedor orientado a fachada de calle diputación y los dos dormitorios y el baño completo orientado a fachada de patio interior manzana.  Acabados de diseño y  alta calidad. Armarios empotrados. Cocina totalmente equipada y electrodomésticos integrados."
Dreta de l´Eixample,425.000 €,3 habitaciones,2 Baños,,Superficie 130 m,Año construcción 1885,Planta número 3,Lavadero ,,,Sin calefacción,Sin plaza parking,Sin aire acondicionado,Sin ascensor,"VGPSLat\"":41.3895216","VGPSLon\"":2.1716008",https://www.habitaclia.com/comprar-piso-pis_a_reformar_a_leixample_calle_pau_claris_78_dreta_de_l_eixample-barcelona-i14908004102128.htm?f=&from=list&lo=55," Piso venta calle Pau Claris Fabuloso piso en finca regia a dos pasos de plaza Catalunya. Segunda planta a reformar es exterior a calle y a bonito patio de manzana, doble orientación a Tarragona y a Girona. Sus 130 m2 se distribuyen en un precioso salón-comedor con galería, tres dormitorios dobles, cocina, un baño completo y un aseo de cortesía. También contamos con una práctica despensa y un acogedor recibidor que distingue estas encantadoras propiedades distintivas de finales del siglo XIX."
Dreta de l´Eixample,450.000 €,2 habitaciones,1 Baño,1 Aseo,Superficie 130 m,Año construcción 1954,Planta número 1,,,,Calefacción ,Sin plaza parking,Aire acondicionado ,Ascensor ,"VGPSLat\"":41.3990413","VGPSLon\"":2.1702848",https://www.habitaclia.com/comprar-piso-magnfico_reformado_en_preciosa_finca_regia_con_ascensor_ex_dreta_de_l_eixample-barcelona-i26855000000723.htm?pag=2&f=&from=list&lo=55," Espectacular piso, completamente reformado y amueblado, ubicado en la primera planta de una bonita finca regia esquinera en el barrio de La Dreta de L?Eixample con fachada al Passeig de Sant Joan y a la Avinguda Diagonal. El piso es todo exterior a calle (excepto ba?os y cocina) y cuenta con un gran sal?n-comedor de planta abierta, dos dormitorios dobles, cocina integrada en el sal?n-comedor equipada con electrodom?sticos de 1? l?nea) ba?o y aseo. Tiene una reciente reforma, actual, funcional y con grandes espacios . A pocos minutos andando del Passeig de Gracia, Arc de Triunf, Vila de Gracia... y muy bien comunicado por transporte p?blico (junto L?nea de metro Verdaguer)  Localizaci?n"
,desde ,,,,,,,,,,Calefacción ,,Aire acondicionado ,Ascensor ,"VGPSLat\"":41.3822192","VGPSLon\"":2.1496866",https://www.habitaclia.com/obra_nueva-viviendas-en-barcelona/promo_27005004041174?from=list&lo=56," El proyecto de Rocafort 140 se trata de un  proyecto residencial de especial singularidad  en pleno corazón del Eixample. Modernos apartamentos de 2 y 3 habitaciones y viviendas en planta baja con terraza con  exclusivos acabados, cuidadosamente seleccionados para facilitar un estilo de vida actual. El conjunto residencial esta formado por un total de 20 vviendas que dan respuesta al estilo de vida actual. Ubicada en pleno centro de Barcelona, Rocafort 140, ofrece a sus propietarios un gran espacio  comunitario con piscina, ubicado en  en el interior de la «illa» y otros servicios adicionales como aparcamiento preparado para la recarga de vehículos eléctricos, espacios para trasteros y zona de lavandería."
Dreta de l´Eixample,2.450.000 €,4 habitaciones,4 Baños,,Superficie 253 m,,,,,Terraza 100 m,,,Aire acondicionado ,Ascensor ,,,https://www.habitaclia.com/comprar-atico-obra_nueva_dreta_de_l_eixample-barcelona-i36271004087695.htm?pag=2&f=&from=list&lo=55," Este impresionante ático situado en un edificio de esquina cuenta con tres habitaciones con baño y una terraza privada en la azotea de 100m2 a la que se puede acceder directamente desde el piso. Este clásico edificio de esquina del Eixample ha sido objeto de una amplia renovación y presenta detalles interiores bien ejecutados que combinan un estilo tradicional con una estética contemporánea. Al ingresar al apartamento, encontramos una sala de estar, comedor y cocina amplios y abiertos, ideales para el entretenimiento. La suite principal cuenta con una bañera grande, una ducha separada, una cantidad significativa de espacio en el armario y acceso directo a un balcón lleno de luz en la parte trasera de la propiedad. La ubicación estratégica de la propiedad en una esquina achaflanada ofrece excelentes vistas de los edificios históricos cercanos, así como vistas hacia el mar Mediterráneo. Con ocho puertas exteriores con balcón, la casa tiene una excelente cantidad de luz natural durante todo el día. Para la noche, la iluminación interior diseñada por expertos crea diversas zonas de iluminación que crean una sensación de calma y elegancia. La combinación de detalles de diseño de interiores y el uso ingenioso de cada metro cuadrado distingue a esta propiedad. El piso presenta suelos de madera con diseño de chevron, bordeados con azulejos que complementan las formas únicas de cada espacio. Los armarios empotrados en los dormitorios se combinan con los sistemas de paneles de pared, agregando un nivel de elegancia en todas las casas. El aire acondicionado por conducto está oculto de manera inteligente, mientras que los radiadores de pared recuerdan el aspecto histórico de este clásico edificio modernista. Esta propiedad es una excelente inversión para aquellos que buscan un piso clásico de Barcelona en un edificio con menos mantenimiento debido a la reciente renovación completa. Situado en el corazón del distrito central de Barcelona, ​ Eixample, esta propiedad se encuentra cerca de la avenida frondosa del Passeig de Sant Joan. La principal avenida comercial de Barcelona, ​​Passeig de Gràcia, está a solo 8 minutos a pie. En el área inmediata, hay una gran selección de cafeterías, restaurantes y boutiques locales e internacionales a la vuelta de la esquina. La posición geográfica de Barcelona es un principal motivo que atrae a visitantes de todo el mundo a esta ciudad. Limita con el Mar Mediterráneo y gracias a sus kilómetros de costa, la ciudad se beneficia de un clima templado durante todo el año, donde también se puede disfrutar de su marisco y pescado fresco que sigue inspirando la escena culinaria de la zona. Además, la proximidad a las montañas permite actividades de deportes de invierno a solo dos horas en coche de la ciudad. Desde el punto de vista de la infraestructura, Barcelona se ha transformado desde los Juegos Olímpicos del ‘92, convirtiéndose en un importante centro para la creación de empresas y la innovación de tecnología."
Dreta de l´Eixample,1.620.000 €,3 habitaciones,3 Baños,,Superficie 169 m,,,,,Balcón / Terraza 4 m,Calefacción ,,Aire acondicionado ,Ascensor ,"VGPSLat\"":41.3887323","VGPSLon\"":2.1737381",https://www.habitaclia.com/comprar-piso-obra_nueva_dreta_de_l_eixample-barcelona-i29735004098611.htm?pag=2&f=&from=list&lo=55," En el corazón del Quadrat d´Or (zona de l´Eixample en Barcelona conocida por su gran concentración de fincas modernistas creadas por insignes arquitectos de la época como Puig i Cadafalch  Antoni Gaudí) encontramos esta magnífica finca residencial acatalogada de finales del S. XIX, ideada por Pau Salvat i Espasa y única por su detallada ornamentación en forjados, maderas nobles, cerámica, todo perfectamente preservado y devuelto a la vida  mediante una rehabilitación integral en combinación con los materiales más modernos para proponer un estilo de vida marcado por el lujo y el buen gusto. Este excelente ejemplo de arquitectura modernista en su forma más pura se compone de diez viviendas, cada una generosamente distribuida en dos o tres habitaciones dobles (una de ellas con baño en suite y walk in closet) y dos o tres baños completos, cocina abierta a una gran sala de estar y tamaños que varían de los 157 a los 169 metros cuadrados construidos, además de un exclusivo ático de 282 metros cuadrados de tres habitaciones (una en suite + vestidor) cuatro baños y acceso directo a una espléndida terraza de uso privativo de más de 100 metros cuadrados y maravillosas vistas sobre toda la ciudad de Barcelona, todo ello sin dejar de lado una serie de zonas comunes con gimnasio, sauna, spa y piscina interior y exterior, a un tiro de piedra de Passeig de Gràcia y su lujosa oferta de tiendas y restaurante. Acerca de Eixample Dreta: Se trata de una de las zonas más céntricas de la ciudad, considerada por muchos, el corazón de Barcelona con una gran colección de edificios modernistas. Una zona muy cotizada con exclusivos áticos y fabulosos apartamentos en fincas regias. Muchos de los edificios del Eixample son obra de arquitectos modernistas que conservan elementos originales fantásticos; techos altos, suelos embaldosados con mosaicos, techos con cornisa y mucha luz natural. La Avenida Diagonal, el Paseo de Gracia y Rambla Cataluña, con sus selectas boutiques internacionales, prestigiosos despachos y algunos de los mejores restaurantes de Barcelona, culminan la oferta de este distrito, excelentemente enlazado con el transporte público y rodeado una amplia oferta turística."
